dataelementid,dataelement,period,facility,mflcode,categoryoptioncombo,attributeoptioncombo,value
t9k5FOaZ3De,CT_: New on Treatment 25-29 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
dMXQytl6smz,CT_: Current on Treatment 1 - 9 Years,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,16
w6WWy2A7RUk,CT_: Current on Treatment 10-14 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,5
RjApqOcDTwT,CT_: Current on Treatment 10-14 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,6
fFNmm0oP0ek,CT_: Current on Treatment 15-19 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,3
MkTG1QOLLcC,CT_: Current on Treatment 15-19 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
VRnM69jCvDj,CT_: Current on Treatment 20-24 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,3
VsZdsSj87oU,CT_: Current on Treatment 20-24 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
zj9bYSJ4gs9,CT_: Current on Treatment 25-29 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,37
HZy39srIX9A,CT_: Current on Treatment 25-29 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,49
qKs4rxcBeMN,CT_: Current on Treatment 30-34 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,31
sb0tiptWRok,CT_: Current on Treatment 30-34 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,37
lqWuuZfUOnP,CT_: Current on Treatment 35-39 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,40
aDaPydSh2gv,CT_: Current on Treatment 35-39 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,43
CrCBPYt9i4n,CT_: Current on Treatment 40-49 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,40
HjrjlsRzZK4,CT_: Current on Treatment 40-49 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,44
k7fA3OJUTkw,CT_: Current on Treatment 50 + Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,25
KqSJpHTD0DU,CT_: Current on Treatment 50 + Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,17
jUcIgoTmCyK,CT_: Net Cohort Starting ART 12 months 10-14 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
zcqGwYmAuBB,CT_: Net Cohort Starting ART 12 months 35-39 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
k5Y3POnUMVw,CT_: Net Cohort Starting ART 12 months 50 + Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
rX453yaxY6W,CT_: Number on ART 12 months 10-14 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
RdLoy5cHh4e,CT_: Number on ART 12 months 35-39 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
WIjRleClfUo,CT_: Number on ART 12 months 50 + Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
HYicnKrFb3E,CT_: Eligible for Viral Load 1 - 9 Years,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
KFvCzhEHvpB,CT_: Eligible for Viral Load 10-14 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
RMpwq40uILP,CT_: Eligible for Viral Load 20-24 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
kFXEqn4Nh2F,CT_: Eligible for Viral Load 25-29 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
R1chfCFmd5F,CT_: Eligible for Viral Load 25-29 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
YizsMxXaMJQ,CT_: Eligible for Viral Load 30-34 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
ztybLcfNncG,CT_: Eligible for Viral Load 35-39 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
cffqyuJSQLK,CT_: Eligible for Viral Load 40-49 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,6
pYEncfq4LHD,CT_: Eligible for Viral Load 50 + Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
WQxReDQwd9j,CT_: Viral Load Samples Collected 1 - 9 Years,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
pQxQmwQ5KBy,CT_: Viral Load Samples Collected 10-14 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
A3sXxJP3yFj,CT_: Viral Load Samples Collected 20-24 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
Msy6jQGmn37,CT_: Viral Load Samples Collected 25-29 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
QXKdo31bahD,CT_: Viral Load Samples Collected 25-29 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
qO4Laf5vNBj,CT_: Viral Load Samples Collected 30-34 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
kCAtOuXo8I5,CT_: Viral Load Samples Collected 35-39 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
can7jmHsKVp,CT_: Viral Load Samples Collected 40-49 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,6
TGfSjBs0xBB,CT_: Viral Load Samples Collected 50 + Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
dtcmia5mJdo,CT_: Number with Viral Load Results 1 - 9 Years,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
EkjMMNSb91g,CT_: Number with Viral Load Results 10-14 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
TgMwXZEAIk0,CT_: Number with Viral Load Results 20-24 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
qJbOUW9dPEc,CT_: Number with Viral Load Results 25-29 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
xKJ22a8Qlgs,CT_: Number with Viral Load Results 25-29 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
b1YflJcFVpl,CT_: Number with Viral Load Results 30-34 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
mVUVWMVwytZ,CT_: Number with Viral Load Results 35-39 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
tYIWVIK3Mq6,CT_: Number with Viral Load Results 40-49 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,6
gGkHe1YACwe,CT_: Number with Viral Load Results 50 + Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,2
wUcqGUbUeJn,"CT_: Viral Load Results <1,000 10-14 Years Male",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
ubkZPc0ny42,"CT_: Viral Load Results <1,000 20-24 Years Female",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
mFxtWtGURzj,"CT_: Viral Load Results <1,000 25-29 Years Male",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
QYmb3yJ4ytL,"CT_: Viral Load Results <1,000 25-29 Years Female",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
nIXanr4P8FF,"CT_: Viral Load Results <1,000 30-34 Years Female",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
l2WlZlgaCqC,"CT_: Viral Load Results <1,000 40-49 Years Female",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,6
cvOqRQK3CUL,"CT_: Viral Load Results <1,000 50 + Years Male",201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
ZstVbezKQEd,CT_: Viral Load Results <LDL> 25-29 Years Male,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,1
oIrkY2stZm4,CT_: Viral Load Results <LDL> 40-49 Years Female,201710,Chemelil Sugar Health Centre,13522,HllvX50cXC0,YHx6ZCdJgEN ,3
dMXQytl6smz,CT_: Current on Treatment 1 - 9 Years,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,10
w6WWy2A7RUk,CT_: Current on Treatment 10-14 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
fFNmm0oP0ek,CT_: Current on Treatment 15-19 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,4
MkTG1QOLLcC,CT_: Current on Treatment 15-19 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
VRnM69jCvDj,CT_: Current on Treatment 20-24 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
VsZdsSj87oU,CT_: Current on Treatment 20-24 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,10
zj9bYSJ4gs9,CT_: Current on Treatment 25-29 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,15
HZy39srIX9A,CT_: Current on Treatment 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,10
qKs4rxcBeMN,CT_: Current on Treatment 30-34 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,7
sb0tiptWRok,CT_: Current on Treatment 30-34 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,15
lqWuuZfUOnP,CT_: Current on Treatment 35-39 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,12
aDaPydSh2gv,CT_: Current on Treatment 35-39 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,18
CrCBPYt9i4n,CT_: Current on Treatment 40-49 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,6
HjrjlsRzZK4,CT_: Current on Treatment 40-49 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,12
k7fA3OJUTkw,CT_: Current on Treatment 50 + Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,11
KqSJpHTD0DU,CT_: Current on Treatment 50 + Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,10
usfvJR0el1t,CT_: Net Cohort Starting ART 12 months 15-19 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
FBCeiv1YMkL,CT_: Net Cohort Starting ART 12 months 15-19 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
xhQ1CX8SbHN,CT_: Net Cohort Starting ART 12 months 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
LK2HDDAeD4T,CT_: Net Cohort Starting ART 12 months 30-34 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
b2ZU69jlLjk,CT_: Number on ART 12 months 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
RjtR7eD45H1,CT_: Number on ART 12 months 30-34 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
RMpwq40uILP,CT_: Eligible for Viral Load 20-24 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
R1chfCFmd5F,CT_: Eligible for Viral Load 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,4
OIm2k2fVBmv,CT_: Eligible for Viral Load 30-34 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
ztybLcfNncG,CT_: Eligible for Viral Load 35-39 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
BWU1QcT9eFu,CT_: Eligible for Viral Load 35-39 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,4
aJaqKdZsUe4,CT_: Eligible for Viral Load 40-49 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
pYEncfq4LHD,CT_: Eligible for Viral Load 50 + Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
bIMomPVPlUX,CT_: Eligible for Viral Load 50 + Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
A3sXxJP3yFj,CT_: Viral Load Samples Collected 20-24 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
QXKdo31bahD,CT_: Viral Load Samples Collected 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,3
yhQCvYucobL,CT_: Viral Load Samples Collected 30-34 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
kCAtOuXo8I5,CT_: Viral Load Samples Collected 35-39 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
khzso3Cer4z,CT_: Viral Load Samples Collected 35-39 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,4
UL5CnB8zL98,CT_: Viral Load Samples Collected 40-49 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
TGfSjBs0xBB,CT_: Viral Load Samples Collected 50 + Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
bC9x4D3iwM9,CT_: Viral Load Samples Collected 50 + Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
TgMwXZEAIk0,CT_: Number with Viral Load Results 20-24 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
xKJ22a8Qlgs,CT_: Number with Viral Load Results 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,3
BeFNRCqmsW3,CT_: Number with Viral Load Results 30-34 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
mVUVWMVwytZ,CT_: Number with Viral Load Results 35-39 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
m0i3vHRRh8N,CT_: Number with Viral Load Results 35-39 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,4
DPuev94lPjB,CT_: Number with Viral Load Results 40-49 Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
gGkHe1YACwe,CT_: Number with Viral Load Results 50 + Years Male,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
X4NIxxO1fpK,CT_: Number with Viral Load Results 50 + Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
ubkZPc0ny42,"CT_: Viral Load Results <1,000 20-24 Years Female",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
QYmb3yJ4ytL,"CT_: Viral Load Results <1,000 25-29 Years Female",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,3
l26MQmCevwB,"CT_: Viral Load Results <1,000 30-34 Years Male",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
TETyFJ2kkKN,"CT_: Viral Load Results <1,000 35-39 Years Male",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
tJL3VMY7bZW,"CT_: Viral Load Results <1,000 35-39 Years Female",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,4
hqrIs9XRebP,"CT_: Viral Load Results <1,000 40-49 Years Male",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
cvOqRQK3CUL,"CT_: Viral Load Results <1,000 50 + Years Male",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
NJ4cqkTl5eO,"CT_: Viral Load Results <1,000 50 + Years Female",201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
RsV6n5MfDFj,CT_: Viral Load Results <LDL> 20-24 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
kgieGgJkZS3,CT_: Viral Load Results <LDL> 25-29 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
F1coQry4Jos,CT_: Viral Load Results <LDL> 35-39 Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,1
PS4CpDsuvy1,CT_: Viral Load Results <LDL> 50 + Years Female,201710,Kandege Dispensary,13652,HllvX50cXC0,YHx6ZCdJgEN ,2
f49NZ0WYT8H,CT_: New on Treatment 1 - 9 Years,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
jMj9HsAtCiE,CT_: New on Treatment 20-24 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
nKH62k2rovl,CT_: New on Treatment 25-29 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
BaggOdSLOaW,CT_: New on Treatment 30-34 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
dMXQytl6smz,CT_: Current on Treatment 1 - 9 Years,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,15
w6WWy2A7RUk,CT_: Current on Treatment 10-14 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,9
RjApqOcDTwT,CT_: Current on Treatment 10-14 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,7
fFNmm0oP0ek,CT_: Current on Treatment 15-19 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
MkTG1QOLLcC,CT_: Current on Treatment 15-19 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
VRnM69jCvDj,CT_: Current on Treatment 20-24 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,5
VsZdsSj87oU,CT_: Current on Treatment 20-24 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,23
zj9bYSJ4gs9,CT_: Current on Treatment 25-29 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,6
HZy39srIX9A,CT_: Current on Treatment 25-29 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,33
qKs4rxcBeMN,CT_: Current on Treatment 30-34 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,21
sb0tiptWRok,CT_: Current on Treatment 30-34 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,15
lqWuuZfUOnP,CT_: Current on Treatment 35-39 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,23
aDaPydSh2gv,CT_: Current on Treatment 35-39 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,13
CrCBPYt9i4n,CT_: Current on Treatment 40-49 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,8
HjrjlsRzZK4,CT_: Current on Treatment 40-49 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,48
k7fA3OJUTkw,CT_: Current on Treatment 50 + Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,16
KqSJpHTD0DU,CT_: Current on Treatment 50 + Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,32
wfRYSCOZMA6,CT_: Net Cohort Starting ART 12 months 20-24 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
LK2HDDAeD4T,CT_: Net Cohort Starting ART 12 months 30-34 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
zpSTdWOAkCm,CT_: Number on ART 12 months 20-24 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
RjtR7eD45H1,CT_: Number on ART 12 months 30-34 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
iYpuYBthEyc,CT_: Eligible for Viral Load < 1 Year,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
HYicnKrFb3E,CT_: Eligible for Viral Load 1 - 9 Years,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,5
KFvCzhEHvpB,CT_: Eligible for Viral Load 10-14 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
s4nSWHWjKbs,CT_: Eligible for Viral Load 10-14 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
RMpwq40uILP,CT_: Eligible for Viral Load 20-24 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,3
kFXEqn4Nh2F,CT_: Eligible for Viral Load 25-29 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
R1chfCFmd5F,CT_: Eligible for Viral Load 25-29 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
OIm2k2fVBmv,CT_: Eligible for Viral Load 30-34 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
YizsMxXaMJQ,CT_: Eligible for Viral Load 30-34 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,6
ztybLcfNncG,CT_: Eligible for Viral Load 35-39 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,3
BWU1QcT9eFu,CT_: Eligible for Viral Load 35-39 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,3
aJaqKdZsUe4,CT_: Eligible for Viral Load 40-49 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
cffqyuJSQLK,CT_: Eligible for Viral Load 40-49 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
pYEncfq4LHD,CT_: Eligible for Viral Load 50 + Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
bIMomPVPlUX,CT_: Eligible for Viral Load 50 + Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,5
Z0ysTMMYJ0i,CT_: Viral Load Samples Collected < 1 Year,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
WQxReDQwd9j,CT_: Viral Load Samples Collected 1 - 9 Years,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,5
pQxQmwQ5KBy,CT_: Viral Load Samples Collected 10-14 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
m8nYrbtZVL5,CT_: Viral Load Samples Collected 10-14 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
A3sXxJP3yFj,CT_: Viral Load Samples Collected 20-24 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,3
Msy6jQGmn37,CT_: Viral Load Samples Collected 25-29 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
QXKdo31bahD,CT_: Viral Load Samples Collected 25-29 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
yhQCvYucobL,CT_: Viral Load Samples Collected 30-34 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
qO4Laf5vNBj,CT_: Viral Load Samples Collected 30-34 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,6
kCAtOuXo8I5,CT_: Viral Load Samples Collected 35-39 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,3
khzso3Cer4z,CT_: Viral Load Samples Collected 35-39 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,3
UL5CnB8zL98,CT_: Viral Load Samples Collected 40-49 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
can7jmHsKVp,CT_: Viral Load Samples Collected 40-49 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
TGfSjBs0xBB,CT_: Viral Load Samples Collected 50 + Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,4
bC9x4D3iwM9,CT_: Viral Load Samples Collected 50 + Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,5
dtcmia5mJdo,CT_: Number with Viral Load Results 1 - 9 Years,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,5
EkjMMNSb91g,CT_: Number with Viral Load Results 10-14 Years Male,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,2
ojW0g0phCOd,CT_: Number with Viral Load Results 10-14 Years Female,201710,Kasongo Dispensary,16282,HllvX50cXC0,YHx6ZCdJgEN ,1
